start	end	text
0	5180	Zanim pojawi się pierwszy ruch, jesteśmy my. Ludzie STOEN.
10720	17180	W zarządzaniu siecią nie ma miejsca na domysły. Jest lokalizacja, schemat, komunikat, potwierdzenie.
17720	24020	To my łączymy dyspozycję i brygadę, biuro i teren, mieszkańców Warszawy i sieć, której nie widać.
24020	30960	Jedna informacja uruchamia cały zespół, przyłbica, rękawice, szelki. Wszystko to chroni nas przy pracy.
31580	37700	To my pilnujemy bezpieczeństwa. Przygotować strefę pracy, sprawdzić sprzęt, upewnić się jeszcze raz.
38580	45220	Każdy znak, każdy przewód i każdy gest muszą być jasne. Zespół pilnuje siebie nawzajem.
46300	51340	Z powietrza widzimy więcej. Bron pozwala nam kontrolować sieć, zanim pojawi się zagrożenie.
54220	61820	Zbłoszenie prac na sieci. Kontrola wyłączyć napięcie. Pewność możemy działać bezpiecznie.
62220	70320	A kiedy praca jest wykonana, nie kończymy z pośpiechem. Wracamy do potwierdzeń, bo energia ma płonąć, a ludzie mają wrócić bezpiecznie.
71720	74860	Za bezpieczeństwem stoimy my. STOEN operator.
